n,q_plus,q_minus
4126,3,3
4128,5,47
4130,79,17
4132,13,101
4134,23,5
4136,103,89
4138,67,53
4140,7,7
4142,37,5
4144,31,59
4146,5,7
4148,13,83
4150,3,3
4152,5,7
4154,7,59
4156,37,5
4158,5,13
4160,67,3
4162,13,3
4164,5,13
4166,43,5
4168,3,3
4170,7,31
4172,37,3
4174,7,173
4176,11,7
4178,43,11
4180,7,41
4182,13,11
4184,43,3
4186,3,89
4188,37,23
4190,3,11
4192,193,3
4194,7,7
4196,7,5
4198,19,3
4200,13,19
4202,13,17
4204,163,3
4206,23,47
4208,3,23
4210,73,3
4212,19,37
4214,37,3
4216,61,59
4218,23,5
4220,3,83
4222,19,41
4224,13,5
4226,37,5
4228,67,23
4230,7,7
4232,73,47
4234,7,5
4236,17,13
4238,3,3
4240,79,29
4242,43,17
4244,67,3
4246,3,17
4248,37,13
4250,3,3
4252,67,11
4254,41,13
4256,127,17
4258,19,5
4260,11,11
4262,3,5
4264,43,17
4266,23,13
4268,19,23
4270,31,17
4272,13,37
4274,3,29
4276,43,5
4278,47,5
4280,37,11
4282,19,5
4284,5,19
4286,7,23
4288,3,47
4290,37,17
4292,79,167
4294,151,53
4296,7,7
4298,19,17
4300,13,29
4302,23,17
4304,7,47
4306,3,5
4308,7,11
4310,13,3
4312,19,5
4314,11,19
4316,7,3
4318,3,107
4320,11,17
4322,127,41
4324,7,29
4326,5,19
4328,13,5
4330,7,29
4332,79,13
4334,7,3
4336,31,17
4338,7,31
4340,3,29
4342,7,17
4344,7,5
4346,61,17
4348,7,3
4350,11,11
4352,79,3
4354,97,5
4356,5,5
4358,97,3
4360,7,11
4362,37,5
4364,37,5
4366,67,3
4368,5,11
4370,37,47
4372,7,17
4374,23,17
4376,61,5
4378,37,3
4380,11,13
4382,13,3
4384,7,5
4386,31,13
4388,7,11
4390,3,17
4392,17,11
4394,97,23
4396,31,3
4398,13,7
4400,37,41
4402,19,23
4404,7,19
4406,7,29
4408,7,23
4410,13,11
4412,103,5
4414,7,5
4416,5,13
4418,3,23
4420,3,47
4422,23,5
4424,31,5
4426,43,29
4428,13,5
4430,31,11
4432,3,5
4434,17,17
4436,7,17
4438,3,11
4440,19,13
4442,109,5
4444,7,3
4446,53,5
4448,3,11
4450,7,17
4452,23,5
4454,7,3
4456,7,29
4458,37,7
4460,31,23
4462,3,11
4464,5,7
4466,31,3
4468,13,5
4470,7,11
4472,193,5
4474,3,89
4476,13,19
4478,37,5
4480,37,3
4482,7,31
4484,31,3
4486,37,3
4488,19,13
4490,151,47
4492,13,47
4494,13,79
4496,7,3
4498,7,3
4500,7,31
4502,7,17
4504,163,53
4506,13,7
4508,19,3
4510,67,3
4512,17,7
4514,3,53
4516,7,23
4518,53,5
4520,67,47
4522,97,41
4524,7,79
4526,7,5
4528,19,251
4530,37,11
4532,7,41
4534,61,3
4536,5,37
4538,13,17
4540,97,3
4542,19,13
4544,7,3
4546,31,5
4548,5,23
4550,19,3
4552,13,23
4554,17,13
4556,31,89
4558,19,47
4560,7,11
4562,67,17
4564,37,29
4566,11,13
4568,37,3
4570,7,41
4572,5,23
4574,3,47
4576,7,5
4578,5,5
4580,7,23
4582,97,11
4584,5,7
4586,37,3
4588,67,17
4590,67,13
4592,3,11
4594,7,17
4596,71,5
4598,3,23
4600,3,47
4602,7,7
4604,37,5
4606,73,5
4608,89,13
4610,7,41
4612,3,5
4614,5,5
4616,13,59
4618,19,5
4620,17,31
4622,19,3
4624,3,59
4626,31,37
4628,19,5
4630,31,29
4632,5,31
4634,31,3
4636,37,17
4638,107,13
4640,37,47
4642,3,5
4644,41,17
4646,97,83
4648,13,5
4650,43,41
4652,3,5
4654,3,5
4656,7,7
4658,3,11
4660,43,59
4662,17,31
4664,37,3
4666,127,17
4668,23,11
4670,67,11
4672,7,5
4674,5,5
4676,13,17
4678,109,5
4680,7,53
4682,43,3
4684,3,17
4686,13,5
4688,19,5
4690,3,11
4692,7,5
4694,31,3
4696,37,179
4698,5,11
4700,127,17
4702,7,41
4704,11,37
4706,43,3
4708,7,53
4710,17,7
4712,43,17
4714,3,29
4716,37,7
4718,3,11
4720,7,17
4722,7,13
4724,37,23
4726,73,47
4728,17,41
4730,7,3
4732,19,3
4734,13,7
4736,43,59
4738,19,47
4740,7,7
4742,3,3
4744,43,23
4746,31,5
4748,13,3
4750,31,17
4752,5,5
4754,67,173
4756,3,3
4758,5,41
4760,43,59
4762,67,5
4764,31,13
4766,7,5
4768,3,17
4770,29,13
4772,13,5
4774,103,3
4776,13,5
4778,13,53
4780,67,11
4782,7,11
4784,7,17
4786,7,5
4788,5,17
4790,163,41
4792,37,167
4794,23,7
4796,3,3
4798,79,11
4800,23,7
4802,3,53
4804,163,3
4806,31,5
4808,3,3
4810,61,3
4812,23,7
4814,13,23
4816,31,3
4818,7,37
4820,3,41
4822,43,3
4824,31,89
4826,157,3
4828,13,3
4830,71,19
4832,163,83
4834,3,5
4836,5,17
4838,37,23
4840,67,41
4842,13,13
4844,31,3
4846,13,167
4848,43,17
4850,3,3
4852,79,107
4854,7,17
4856,13,89
4858,3,11
4860,11,19
4862,3,5
4864,31,3
4866,11,19
4868,73,131
4870,7,41
4872,59,11
4874,37,17
4876,7,17
4878,5,11
4880,19,23
4882,13,47
4884,7,13
4886,3,5
4888,67,23
4890,7,13
4892,19,41
4894,73,3
4896,11,139
4898,7,3
4900,31,17
4902,5,17
4904,3,17
4906,7,53
4908,5,5
4910,3,17
4912,43,71
4914,17,17
4916,37,47
4918,73,11
4920,11,11
4922,3,53
4924,3,3
4926,11,7
4928,3,3
4930,19,3
4932,23,11
4934,61,5
4936,7,23
4938,17,5
4940,79,17
4942,73,11
4944,61,5
4946,7,29
4948,3,23
4950,29,19
4952,3,17
4954,67,17
4956,23,17
4958,19,3
4960,13,11
4962,19,5
4964,37,3
4966,7,29
4968,7,31
4970,61,47
4972,13,3
4974,11,7
4976,3,17
4978,73,101
4980,11,11
4982,97,3
4984,73,5
4986,5,5
4988,3,41
4990,7,41
4992,17,7
4994,13,29
4996,103,5
4998,5,31
5000,109,17
5002,37,3
5004,31,17
5006,3,3
5008,3,5
5010,23,13
5012,73,3
5014,43,47
5016,7,29
5018,157,3
5020,7,11
5022,7,5
5024,7,3
5026,13,59
5028,5,17
5030,37,11
5032,127,11
5034,5,13
5036,67,3
5038,7,3
5040,11,11
5042,7,3
5044,31,17
5046,5,5
5048,73,5
5050,7,29
5052,37,5
5054,31,17
5056,13,59
5058,13,7
5060,3,3
5062,67,11
5064,23,7
5066,7,89
5068,3,3
5070,19,29
5072,3,41
5074,3,5
5076,5,13
5078,7,3
5080,13,3
5082,29,13
5084,61,5
5086,13,29
5088,7,5
5090,37,11
5092,79,113
5094,11,5
5096,37,5
5098,43,23
5100,7,11
5102,19,3
5104,61,3
5106,71,13
5108,7,3
5110,3,29
5112,5,17
5114,3,3
5116,7,263
5118,19,5
5120,13,41
5122,79,17
5124,5,5
5126,103,5
5128,37,17
5130,7,11
5132,3,11
5134,37,3
5136,5,13
5138,3,47
5140,7,59
5142,7,5
5144,3,17
5146,103,3
5148,17,5
5150,13,3
5152,13,41
5154,5,7
5156,37,3
5158,37,11
5160,11,19
5162,37,71
5164,61,227
5166,23,67
5168,79,41
5170,37,17
5172,17,5
5174,3,59
5176,3,29
5178,7,13
5180,61,3
5182,19,71
5184,7,43
5186,3,5
5188,19,17
5190,13,13
5192,7,5
5194,13,17
5196,5,13
5198,79,11
5200,31,83
5202,47,7
5204,3,5
5206,37,3
5208,17,5
5210,7,59
5212,37,3
5214,17,13
5216,61,17
5218,13,3
5220,7,13
5222,43,71
5224,7,83
5226,23,5
5228,7,41
5230,37,11
5232,7,47
5234,127,3
5236,13,3
5238,19,31
5240,13,113
5242,3,5
5244,73,5
5246,31,113
5248,37,5
5250,11,11
5252,37,23
5254,13,29
5256,5,5
5258,7,5
5260,3,11
5262,13,17
5264,13,173
5266,7,5
5268,29,5
5270,61,47
5272,37,11
5274,17,5
5276,37,23
5278,19,11
5280,23,41
5282,3,5
5284,37,47
5286,5,5
5288,7,5
5290,67,3
5292,5,17
5294,37,59
5296,97,29
5298,37,13
5300,3,17
5302,67,3
5304,71,23
5306,3,47
5308,79,23
5310,17,13
5312,19,17
5314,3,5
5316,17,7
5318,373,83
5320,3,11
5322,5,13
5324,13,47
5326,3,89
5328,43,11
5330,7,17
5332,67,5
5334,11,17
5336,271,3
5338,73,11
5340,11,17
5342,7,41
5344,37,3
5346,7,7
5348,3,11
5350,19,29
5352,13,7
5354,73,3
5356,31,3
5358,17,53
5360,19,17
5362,43,11
5364,7,7
5366,37,5
5368,19,17
5370,11,7
5372,3,41
5374,7,29
5376,11,83
5378,79,5
5380,37,29
5382,103,5
5384,3,83
5386,13,17
5388,37,17
5390,43,113
5392,13,3
5394,23,13
5396,3,5
5398,3,41
5400,29,13
5402,13,3
5404,37,17
5406,13,7
5408,3,113
5410,19,11
5412,5,17
5414,97,17
5416,103,23
5418,59,11
5420,19,3
5422,13,41
5424,23,7
5426,3,3
5428,139,5
5430,11,19
5432,37,3
5434,7,3
5436,13,7
5438,19,101
5440,43,41
5442,23,5
5444,37,149
5446,3,5
5448,19,23
5450,3,11
5452,3,3
5454,11,5
5456,37,53
5458,19,5
5460,19,19
5462,13,41
5464,3,47
5466,37,19
5468,7,41
5470,73,17
5472,5,7
5474,13,3
5476,97,5
5478,13,5
5480,19,3
5482,3,17
5484,7,19
5486,7,3
5488,3,53
5490,29,31
5492,73,3
5494,61,5
5496,23,7
5498,37,5
5500,43,29
5502,13,13
5504,7,83
5506,31,53
5508,7,37
5510,3,41
5512,7,3
5514,5,7
5516,61,23
5518,13,3
5520,59,7
5522,7,17
5524,31,89
5526,11,43
5528,67,101
5530,67,41
5532,7,7
5534,31,5
5536,31,5
5538,17,23
5540,3,47
5542,19,5
5544,53,5
5546,13,5
5548,7,17
5550,11,7
5552,7,3
5554,3,3
5556,37,13
5558,37,17
5560,7,17
5562,29,31
5564,31,5
5566,7,5
5568,43,7
5570,37,29
5572,109,17
5574,41,29
5576,7,3
5578,73,5
5580,7,7
5582,73,83
5584,103,29
5586,5,23
5588,7,71
5590,151,3
5592,7,11
5594,37,23
5596,31,17
5598,7,5
5600,37,107
5602,19,5
5604,17,7
5606,3,47
5608,37,17
5610,7,31
5612,37,41
5614,31,3
5616,11,17
5618,3,5
5620,7,11
5622,19,5
5624,7,5
5626,7,59
5628,19,11
5630,37,29
5632,13,137
5634,5,7
5636,7,359
5638,67,17
5640,11,23
5642,3,11
5644,97,47
5646,7,7
5648,7,11
5650,19,131
5652,53,31
5654,37,5
5656,13,23
5658,7,17
5660,7,11
5662,109,5
5664,73,7
5666,127,3
5668,7,3
5670,11,11
5672,13,17
5674,163,5
5676,5,13
5678,3,3
5680,3,11
5682,13,31
5684,73,17
5686,37,3
5688,17,5
5690,31,17
5692,7,11
5694,7,19
5696,103,3
5698,3,41
5700,13,7
5702,3,17
5704,7,5
5706,7,13
5708,13,11
5710,19,3
5712,23,43
5714,43,5
5716,7,17
5718,5,11
5720,7,23
5722,13,5
5724,5,23
5726,61,59
5728,19,71
5730,7,11
5732,7,3
5734,7,17
5736,7,5
5738,67,23
5740,13,47
5742,53,5
5744,127,3
5746,157,23
5748,23,11
5750,31,89
5752,97,5
5754,5,5
5756,61,3
5758,79,101
5760,11,17
5762,19,3
5764,97,5
5766,53,13
5768,37,41
5770,79,89
5772,7,11
5774,3,59
5776,3,17
5778,7,11
5780,61,59
5782,3,3
5784,37,17
5786,283,3
5788,19,5
5790,7,11
5792,13,11
5794,7,17
5796,11,13
5798,103,3
5800,3,3
5802,5,17
5804,7,17
5806,3,3
5808,19,5
5810,13,11
5812,7,47
5814,13,5
5816,31,17
5818,73,3
5820,11,31
5822,7,113
5824,43,137
5826,5,13
5828,37,11
5830,19,41
5832,5,5
5834,13,59
5836,13,23
5838,5,17
5840,7,17
5842,13,11
5844,5,5
5846,67,59
5848,37,131
5850,41,7
5852,73,23
5854,97,5
5856,23,7
5858,3,5
5860,3,3
5862,7,47
5864,13,17
5866,97,17
5868,5,5
5870,13,17
5872,67,23
5874,7,5
5876,67,17
5878,7,3
5880,83,19
5882,37,3
5884,67,29
5886,5,5
5888,37,17
5890,7,29
5892,5,13
5894,31,23
5896,13,3
5898,59,17
5900,3,89
5902,109,5
5904,17,5
5906,7,5
5908,97,11
5910,7,13
5912,3,5
5914,31,23
5916,23,5
5918,3,17
5920,127,3
5922,5,13
5924,67,5
5926,7,5
5928,29,7
5930,31,53
5932,7,41
5934,5,7
5936,13,113
5938,19,3
5940,13,17
5942,19,5
5944,7,3
5946,43,7
5948,7,5
5950,19,53
5952,7,83
5954,7,3
5956,67,23
5958,43,23
5960,31,3
5962,19,17
5964,5,5
5966,43,29
5968,3,5
5970,19,7
5972,19,5
5974,73,17
5976,5,7
5978,67,5
5980,43,3
5982,17,11
5984,163,53
5986,31,5
5988,163,17
5990,7,29
5992,67,17
5994,61,29
5996,3,5
5998,3,5
6000,7,7
6002,13,11
6004,13,23
6006,5,17
6008,13,47
6010,7,11
6012,7,5
6014,3,3
6016,7,29
6018,23,37
6020,3,3
6022,13,5
6024,7,13
6026,31,17
6028,73,17
6030,11,7
6032,37,17
6034,13,5
6036,7,7
6038,7,41
6040,31,3
6042,7,17
6044,3,227
6046,397,47
6048,67,5
6050,67,17
6052,43,41
6054,11,7
6056,67,23
6058,109,3
6060,7,7
6062,67,5
6064,7,83
6066,23,5
6068,3,3
6070,163,17
6072,17,13
6074,103,29
6076,13,3
6078,5,5
6080,3,11
6082,3,3
6084,5,19
6086,7,5
6088,37,5
6090,11,13
6092,43,5
6094,3,17
6096,31,13
6098,19,83
6100,97,11
6102,5,13
6104,37,29
6106,7,5
6108,17,7
6110,7,89
6112,3,23
6114,11,5
6116,37,59
6118,37,3
6120,29,7
6122,97,83
6124,3,5
6126,23,73
6128,3,3
6130,37,3
6132,37,13
6134,37,23
6136,31,29
6138,23,7
6140,3,23
6142,73,11
6144,7,19
6146,31,3
6148,7,5
6150,17,7
6152,7,5
6154,3,5
6156,7,13
6158,163,41
6160,13,23
6162,5,5
6164,7,47
6166,3,23
6168,5,61
6170,7,3
6172,103,3
6174,17,13
6176,97,5
6178,13,11
6180,17,7
6182,7,3
6184,13,47
6186,11,29
6188,103,23
6190,43,23
6192,13,11
6194,7,137
6196,31,83
6198,29,5
6200,13,3
6202,19,3
6204,7,7
6206,3,17
6208,37,11
6210,7,17
6212,127,5
6214,97,5
6216,11,5
6218,139,71
6220,31,83
6222,19,11
6224,37,17
6226,157,5
6228,5,5
6230,3,53
6232,7,191
6234,11,13
6236,73,137
6238,7,41
6240,17,17
6242,7,41
6244,13,17
6246,103,13
6248,7,3
6250,3,11
6252,23,17
6254,3,5
6256,37,29
6258,5,5
6260,67,17
6262,97,17
6264,11,5
6266,37,59
6268,79,47
6270,43,17
6272,97,5
6274,43,3
6276,11,5
6278,3,3
6280,3,3
6282,7,41
6284,61,17
6286,31,29
6288,5,23
6290,13,11
6292,3,23
6294,11,5
6296,3,17
6298,13,41
6300,37,17
6302,13,167
6304,7,3
6306,23,5
6308,37,11
6310,13,11
6312,89,5
6314,13,23
6316,43,3
6318,7,47
6320,109,53
6322,3,17
6324,11,13
6326,7,17
6328,19,3
6330,13,7
6332,3,11
6334,61,3
6336,5,13
6338,43,3
6340,7,23
6342,23,31
6344,37,3
6346,3,3
6348,5,7
6350,103,3
6352,37,5
6354,5,17
6356,127,3
6358,13,23
6360,31,13
6362,7,53
6364,67,17
6366,11,7
6368,7,113
6370,19,3
6372,5,5
6374,13,17
6376,7,17
6378,5,5
6380,7,17
6382,13,17
6384,5,23
6386,7,29
6388,43,83
6390,37,7
6392,3,41
6394,151,29
6396,37,17
6398,3,23
6400,13,71
6402,7,5
6404,3,17
6406,73,23
6408,17,7
6410,109,17
6412,103,17
6414,7,17
6416,43,5
6418,43,5
6420,7,37
6422,97,3
6424,37,29
6426,97,5
6428,19,47
6430,43,29
6432,89,11
6434,7,3
6436,3,3
6438,47,17
6440,43,11
6442,43,17
6444,11,13
6446,31,3
6448,19,5
6450,7,13
6452,13,17
6454,31,3
6456,11,13
6458,3,41
6460,3,11
6462,7,5
6464,7,29
6466,13,23
6468,19,5
6470,103,41
6472,3,47
6474,11,23
6476,31,59
6478,7,71
6480,7,17
6482,97,3
6484,7,29
6486,11,43
6488,3,3
6490,19,17
6492,43,7
6494,7,3
6496,103,5
6498,29,7
6500,31,3
6502,7,107
6504,61,47
6506,13,17
6508,7,3
6510,19,13
6512,79,23
6514,13,29
6516,67,19
6518,7,5
6520,7,3
6522,5,13
6524,31,3
6526,37,23
6528,13,5
6530,31,41
6532,109,41
6534,7,5
6536,13,17
6538,67,11
6540,11,13
6542,37,3
6544,3,5
6546,7,13
6548,3,17
6550,7,29
6552,23,11
6554,43,3
6556,3,83
6558,5,5
6560,3,59
6562,79,173
6564,5,19
6566,13,3
6568,79,5
6570,7,17
6572,7,167
6574,37,53
6576,17,7
6578,19,47
6580,3,53
6582,5,23
6584,7,17
6586,7,17
6588,7,37
6590,13,3
6592,7,5
6594,31,17
6596,211,59
6598,79,5
6600,7,7
6602,37,11
6604,151,29
6606,5,13
6608,157,5
6610,37,3
6612,7,5
6614,7,3
6616,37,23
6618,37,11
6620,61,3
6622,37,23
6624,11,17
6626,37,47
6628,3,23
6630,7,7
6632,127,3
6634,7,5
6636,23,5
6638,13,17
6640,73,89
6642,17,17
6644,73,3
6646,157,29
6648,13,43
6650,31,83
6652,97,17
6654,13,5
6656,3,59
6658,3,23
6660,7,7
6662,7,83
6664,3,83
6666,23,7
6668,43,5
6670,3,17
6672,73,11
6674,3,3
6676,7,3
6678,19,11
6680,19,41
6682,3,11
6684,23,37
6686,3,89
6688,7,17
6690,13,17
6692,19,11
6694,7,23
6696,11,43
6698,3,11
6700,3,17
6702,43,13
6704,7,17
6706,163,53
6708,47,5
6710,7,29
6712,3,5
6714,31,7
6716,43,17
6718,7,17
6720,11,29
6722,7,3
6724,3,29
6726,7,5
6728,7,3
6730,37,17
6732,47,5
6734,3,3
6736,7,29
6738,13,5
6740,37,3
6742,3,17
6744,13,13
6746,193,23
6748,3,5
6750,7,13
6752,37,41
6754,73,3
6756,5,5
6758,67,41
6760,43,29
6762,5,37
6764,37,17
6766,31,167
6768,19,17
6770,7,167
6772,13,3
6774,37,23
6776,61,29
6778,37,17
6780,13,17
6782,3,5
6784,157,3
6786,17,7
6788,103,41
6790,3,17
6792,7,17
6794,7,239
6796,37,23
6798,23,5
6800,31,29
6802,7,3
6804,31,17
6806,7,3
6808,163,11
6810,11,11
6812,3,11
6814,7,83
6816,37,7
6818,13,5
6820,43,3
6822,97,5
6824,37,107
6826,7,137
6828,53,17
6830,19,41
6832,19,17
6834,5,7
6836,7,29
6838,37,17
6840,53,11
6842,37,17
6844,43,5
6846,11,43
6848,97,233
6850,37,17
6852,5,31
6854,73,3
6856,31,3
6858,23,41
6860,13,17
6862,13,3
6864,7,7
6866,157,5
6868,19,23
6870,23,11
6872,7,3
6874,13,29
6876,7,19
6878,3,5
6880,7,53
6882,7,13
6884,13,53
6886,13,17
6888,13,13
6890,7,3
6892,7,5
6894,7,5
6896,127,5
6898,127,3
6900,7,101
6902,37,5
6904,97,23
6906,11,7
6908,3,5
6910,31,11
6912,43,47
6914,13,5
6916,3,29
6918,7,7
6920,31,11
6922,67,3
6924,11,13
6926,3,29
6928,19,3
6930,19,29
6932,13,17
6934,67,47
6936,31,7
6938,3,17
6940,157,3
6942,19,31
6944,3,59
6946,13,173
6948,67,31
6950,109,47
6952,7,5
6954,11,29
6956,151,17
6958,13,17
6960,43,7
6962,7,11
6964,61,167
6966,17,13
6968,73,5
6970,7,29
6972,43,23
6974,13,5
6976,97,5
6978,29,41
6980,3,17
6982,37,71
6984,7,5
6986,151,5
6988,163,3
6990,31,11
6992,7,3
6994,67,107
6996,17,5
6998,13,113
7000,73,11
7002,7,37
7004,31,3
7006,73,5
7008,7,5
7010,127,11
7012,43,41
7014,11,17
7016,61,5
7018,3,53
7020,23,11
7022,7,23
7024,31,89
7026,5,43
7028,73,11
7030,61,3
7032,17,7
7034,31,5
7036,3,23
7038,37,11
7040,103,3
7042,67,47
7044,5,29
7046,37,17
7048,7,3
7050,59,7
7052,79,5
7054,7,59
7056,47,5
7058,19,3
7060,67,11
7062,79,23
7064,67,23
7066,37,3
7068,13,5
7070,3,3
7072,37,71
7074,31,13
7076,3,5
7078,163,167
7080,29,29
7082,37,47
7084,73,17
7086,13,17
7088,79,17
7090,31,53
7092,23,7
7094,7,167
7096,7,3
7098,29,5
7100,7,23
7102,73,17
7104,23,5
7106,31,3
7108,37,41
7110,7,17
7112,3,5
7114,7,167
7116,13,7
7118,7,5
7120,73,11
7122,17,5
7124,43,23
7126,31,83
7128,47,5
7130,43,3
7132,3,41
7134,5,67
7136,3,3
7138,37,3
7140,13,29
7142,7,47
7144,37,29
7146,5,7
7148,103,3
7150,7,29
7152,5,13
7154,3,59
7156,7,59
7158,17,11
7160,3,83
7162,19,3
7164,11,7
7166,7,5
7168,379,113
7170,19,7
7172,43,47
7174,67,47
7176,7,7
7178,43,11
7180,19,17
7182,5,41
7184,37,3
7186,7,3
7188,7,11
7190,3,11
7192,193,17
7194,13,5
7196,67,3
7198,13,23
7200,7,29
7202,3,3
7204,31,3
7206,37,17
7208,19,71
7210,67,11
7212,7,37
7214,3,29
7216,31,17
7218,47,11
7220,7,3
7222,7,5
7224,11,19
7226,163,5
7228,73,3
7230,17,19
7232,37,17
7234,37,89
7236,13,5
7238,3,5
7240,79,3
7242,7,31
7244,61,53
7246,7,5
7248,13,7
7250,61,17
7252,3,5
7254,5,7
7256,31,3
7258,37,5
7260,23,19
7262,67,11
7264,151,89
7266,13,13
7268,7,17
7270,7,29
7272,29,7
7274,151,5
7276,3,137
7278,7,7
7280,19,3
7282,37,23
7284,13,7
7286,151,47
7288,103,41
7290,11,41
7292,7,17
7294,3,83
7296,5,7
7298,3,5
7300,31,3
7302,19,11
7304,157,5
7306,43,47
7308,5,23
7310,79,59
7312,7,5
7314,61,19
7316,3,3
7318,3,5
7320,7,17
7322,13,107
7324,151,3
7326,71,17
7328,37,11
7330,7,11
7332,7,5
7334,181,5
7336,103,5
7338,19,5
7340,7,71
7342,103,5
7344,23,13
7346,67,3
7348,37,23
7350,11,13
7352,67,17
7354,7,5
7356,23,67
7358,7,5
7360,13,29
7362,29,61
7364,13,5
7366,7,3
7368,13,17
7370,3,3
7372,3,11
7374,7,43
7376,163,5
7378,103,11
7380,11,13
7382,3,11
7384,7,3
7386,17,37
7388,3,11
7390,19,29
7392,13,13
7394,37,293
7396,37,3
7398,29,13
7400,3,17
7402,3,3
7404,7,5
7406,31,47
7408,13,41
7410,31,11
7412,3,5
7414,43,5
7416,43,7
7418,7,3
7420,79,41
7422,7,7
7424,7,3
7426,31,3
7428,7,17
7430,13,11
7432,19,41
7434,5,19
7436,37,17
7438,67,41
7440,7,17
7442,7,11
7444,31,3
7446,11,19
7448,67,3
7450,7,29
7452,7,5
7454,73,167
7456,103,3
7458,13,7
7460,13,29
7462,3,3
7464,83,13
7466,3,5
7468,67,11
7470,11,13
7472,3,131
7474,43,23
7476,23,13
7478,223,5
7480,3,59
7482,17,7
7484,3,17
7486,3,89
7488,5,43
7490,13,29
7492,7,5
7494,11,59
7496,43,23
7498,3,17
7500,11,19
7502,13,3
7504,3,23
7506,7,59
7508,37,11
7510,3,83
7512,5,41
7514,3,53
7516,7,3
7518,13,23
7520,19,59
7522,97,3
7524,61,5
7526,3,5
7528,97,11
7530,13,7
7532,103,5
7534,13,47
7536,7,5
7538,43,11
7540,37,11
7542,7,7
7544,61,83
7546,61,3
7548,19,23
7550,37,83
7552,7,17
7554,5,5
7556,37,5
7558,37,3
7560,11,13
7562,79,23
7564,7,3
7566,11,5
7568,3,3
7570,67,11
7572,7,41
7574,13,17
7576,163,5
7578,53,5
7580,31,3
7582,127,3
7584,11,17
7586,67,3
7588,43,5
7590,13,29
7592,37,293
7594,31,47
7596,7,5
7598,139,3
7600,7,29
7602,19,11
7604,7,29
7606,37,5
7608,5,31
7610,3,11
7612,37,3
7614,41,7
7616,13,53
7618,43,41
7620,17,11
7622,7,5
7624,7,17
7626,23,13
7628,79,101
7630,13,3
7632,43,23
7634,7,17
7636,67,5
7638,5,11
7640,13,59
7642,19,23
7644,41,5
7646,67,149
7648,193,83
7650,7,13
7652,19,11
7654,3,3
7656,5,5
7658,3,11
7660,37,3
7662,7,31
7664,283,5
7666,7,227
7668,17,5
7670,19,3
7672,13,5
7674,67,43
7676,43,5
7678,127,41
7680,23,11
7682,79,3
7684,7,5
7686,23,17
7688,13,5
7690,7,47
7692,19,11
7694,3,107
7696,31,113
7698,13,13
7700,61,41
7702,79,5
7704,7,53
7706,3,23
7708,7,3
7710,29,31
7712,19,17
7714,3,17
7716,5,19
7718,37,113
7720,19,11
7722,7,31
7724,127,3
7726,37,17
7728,37,5
7730,7,17
7732,13,11
7734,31,5
7736,7,3
7738,7,11
7740,13,17
7742,127,17
7744,7,17
7746,37,5
7748,7,17
7750,73,59
7752,37,7
7754,97,29
7756,13,3
7758,23,7
7760,3,29
7762,3,3
7764,5,7
7766,37,3
7768,97,17
7770,19,13
7772,7,71
7774,97,5
7776,5,7
7778,73,173
7780,7,3
7782,13,17
7784,3,3
7786,13,5
7788,23,7
7790,3,11
7792,19,11
7794,7,7
7796,37,59
7798,3,11
7800,7,17
7802,37,3
7804,3,17
7806,23,37
7808,3,5
7810,7,47
7812,13,11
7814,97,83
7816,3,53
7818,5,11
7820,37,3
7822,3,41
7824,47,5
7826,97,89
7828,67,113
7830,11,7
7832,67,5
7834,31,3
7836,23,19
7838,79,17
7840,3,3
7842,19,17
7844,3,3
7846,43,3
7848,5,61
7850,3,29
7852,19,3
7854,5,13
7856,97,23
7858,37,17
7860,7,31
7862,67,11
7864,67,47
7866,47,13
7868,139,17
7870,109,17
7872,13,11
7874,157,17
7876,3,3
7878,43,31
7880,19,3
7882,37,5
7884,5,13
7886,7,5
7888,7,5
7890,7,23
7892,3,17
7894,7,3
7896,5,17
7898,37,167
7900,151,11
7902,37,7
7904,43,23
7906,31,83
7908,13,5
7910,31,3
7912,7,3
7914,11,7
7916,37,17
7918,3,11
7920,7,7
7922,19,5
7924,31,47
7926,5,17
7928,37,47
7930,3,3
7932,5,31
7934,7,89
7936,271,59
7938,29,13
7940,79,83
7942,7,17
7944,47,67
7946,7,3
7948,3,173
7950,19,29
7952,3,11
7954,223,29
7956,11,19
7958,7,5
7960,3,23
7962,17,5
7964,13,89
7966,31,3
7968,5,7
7970,3,11
7972,19,3
7974,11,5
7976,7,5
7978,19,71
7980,23,11
7982,79,131
7984,67,3
7986,5,19
7988,163,5
7990,3,11
7992,23,17
7994,3,3
7996,13,3
7998,23,11
8000,31,167
8002,79,41
8004,43,53
8006,127,23
8008,37,17
8010,13,23
8012,3,11
8014,43,17
8016,61,17
8018,37,3
8020,7,17
8022,5,13
8024,7,29
8026,43,3
8028,17,7
8030,3,41
8032,109,3
8034,11,97
8036,31,23
8038,19,41
8040,7,7
8042,7,3
8044,7,17
8046,37,19
8048,13,3
8050,37,41
8052,7,5
8054,43,3
8056,7,23
8058,7,7
8060,43,11
8062,7,113
8064,5,37
8066,7,17
8068,37,5
8070,7,11
8072,19,5
8074,7,83
8076,13,5
8078,3,11
8080,61,71
8082,37,41
8084,127,257
8086,67,17
8088,17,5
8090,43,71
8092,19,53
8094,11,5
8096,3,17
8098,43,5
8100,11,11
8102,13,53
8104,7,83
8106,37,5
8108,19,5
8110,3,3
8112,17,5
8114,7,23
8116,31,53
8118,7,17
8120,13,17
