n,q_plus,q_minus
1054,3,3
1056,53,5
1058,109,5
1060,31,3
1062,5,7
1064,43,5
1066,7,17
1068,13,5
1070,3,11
1072,7,17
1074,7,13
1076,61,3
1078,109,3
1080,11,7
1082,3,3
1084,43,17
1086,7,7
1088,37,5
1090,67,29
1092,5,11
1094,7,23
1096,13,53
1098,5,41
1100,3,41
1102,3,3
1104,5,29
1106,43,5
1108,19,5
1110,71,11
1112,67,3
1114,3,5
1116,23,5
1118,19,3
1120,67,23
1122,5,7
1124,97,3
1126,7,3
1128,37,5
1130,3,3
1132,7,17
1134,13,13
1136,7,5
1138,7,11
1140,31,17
1142,3,53
1144,37,5
1146,13,5
1148,13,17
1150,7,17
1152,7,5
1154,3,5
1156,3,3
1158,17,5
1160,67,17
1162,3,41
1164,5,7
1166,7,47
1168,19,3
1170,7,31
1172,7,41
1174,43,5
1176,11,17
1178,7,3
1180,7,47
1182,7,5
1184,163,47
1186,13,3
1188,43,13
1190,13,3
1192,19,17
1194,13,7
1196,3,3
1198,67,3
1200,11,11
1202,7,3
1204,3,5
1206,5,17
1208,13,3
1210,3,89
1212,5,5
1214,7,3
1216,7,17
1218,5,5
1220,13,29
1222,7,3
1224,37,23
1226,37,17
1228,13,131
1230,23,23
1232,13,5
1234,13,23
1236,7,7
1238,3,5
1240,7,41
1242,7,13
1244,7,17
1246,37,3
1248,5,5
1250,13,29
1252,37,5
1254,5,5
1256,3,3
1258,13,23
1260,11,13
1262,19,5
1264,3,3
1266,5,5
1268,7,3
1270,3,41
1272,5,7
1274,31,5
1276,7,3
1278,37,7
1280,31,47
1282,67,11
1284,41,43
1286,127,5
1288,13,3
1290,23,17
1292,37,5
1294,37,3
1296,11,7
1298,73,3
1300,19,71
1302,5,13
1304,7,89
1306,31,173
1308,5,7
1310,3,11
1312,3,5
1314,5,5
1316,31,3
1318,37,23
1320,13,7
1322,37,23
1324,3,23
1326,7,7
1328,19,5
1330,3,47
1332,23,7
1334,67,59
1336,7,5
1338,19,11
1340,3,17
1342,109,3
1344,5,5
1346,7,59
1348,73,5
1350,17,7
1352,79,3
1354,3,47
1356,5,17
1358,37,11
1360,43,23
1362,53,5
1364,7,17
1366,3,17
1368,13,7
1370,103,41
1372,19,17
1374,7,19
1376,37,3
1378,3,3
1380,7,89
1382,3,17
1384,13,5
1386,17,5
1388,67,3
1390,7,11
1392,59,5
1394,3,5
1396,31,17
1398,7,13
1400,19,59
1402,37,83
1404,37,7
1406,67,5
1408,3,17
1410,13,11
1412,13,47
1414,103,17
1416,5,17
1418,3,3
1420,3,3
1422,17,7
1424,7,17
1426,67,17
1428,13,5
1430,19,17
1432,97,3
1434,7,13
1436,73,5
1438,7,47
1440,7,37
1442,37,11
1444,7,3
1446,7,43
1448,37,11
1450,19,3
1452,13,5
1454,43,3
1456,3,17
1458,7,7
1460,3,41
1462,7,3
1464,17,17
1466,31,5
1468,43,17
1470,13,17
1472,13,227
1474,3,3
1476,5,5
1478,7,11
1480,3,11
1482,7,17
1484,13,3
1486,7,113
1488,17,7
1490,103,11
1492,67,23
1494,17,13
1496,7,3
1498,127,17
1500,13,13
1502,13,5
1504,37,23
1506,7,5
1508,37,47
1510,7,3
1512,5,5
1514,43,3
1516,37,47
1518,19,5
1520,31,11
1522,3,3
1524,7,5
1526,31,23
1528,19,3
1530,11,7
1532,7,23
1534,3,53
1536,7,29
1538,13,5
1540,31,89
1542,5,7
1544,7,3
1546,7,5
1548,5,47
1550,37,3
1552,19,47
1554,5,5
1556,13,17
1558,7,47
1560,31,31
1562,37,5
1564,3,5
1566,11,13
1568,37,17
1570,19,3
1572,17,5
1574,163,5
1576,61,23
1578,7,5
1580,13,17
1582,37,5
1584,5,19
1586,31,17
1588,3,11
1590,29,23
1592,7,5
1594,13,5
1596,31,5
1598,7,3
1600,31,11
1602,7,37
1604,43,5
1606,13,59
1608,43,5
1610,3,11
1612,109,23
1614,11,19
1616,31,17
1618,37,17
1620,11,13
1622,7,5
1624,3,3
1626,13,5
1628,3,3
1630,19,11
1632,5,31
1634,3,5
1636,43,3
1638,5,31
1640,13,29
1642,3,47
1644,5,13
1646,3,3
1648,79,5
1650,7,23
1652,3,3
1654,7,3
1656,7,13
1658,7,11
1660,19,59
1662,7,11
1664,7,3
1666,3,5
1668,67,7
1670,79,11
1672,37,17
1674,37,19
1676,7,17
1678,7,71
1680,11,13
1682,19,3
1684,13,5
1686,7,5
1688,7,5
1690,7,3
1692,19,5
1694,13,23
1696,37,5
1698,29,7
1700,3,53
1702,43,5
1704,7,13
1706,13,3
1708,43,3
1710,11,13
1712,3,47
1714,31,3
1716,17,19
1718,13,11
1720,13,17
1722,5,31
1724,7,5
1726,31,3
1728,7,5
1730,3,41
1732,3,5
1734,5,19
1736,37,5
1738,7,131
1740,17,61
1742,43,3
1744,67,5
1746,7,5
1748,79,3
1750,31,3
1752,29,5
1754,13,5
1756,157,17
1758,23,13
1760,31,53
1762,79,3
1764,31,17
1766,7,23
1768,7,3
1770,7,13
1772,7,5
1774,7,59
1776,11,23
1778,13,11
1780,61,29
1782,7,7
1784,3,3
1786,3,3
1788,7,5
1790,37,71
1792,37,101
1794,11,5
1796,31,113
1798,43,5
1800,19,11
1802,3,5
1804,7,23
1806,5,5
1808,7,3
1810,3,17
1812,5,5
1814,61,3
1816,3,53
1818,23,5
1820,103,11
1822,19,47
1824,67,5
1826,31,3
1828,19,5
1830,13,7
1832,13,107
1834,31,29
1836,11,13
1838,73,41
1840,37,11
1842,29,5
1844,43,3
1846,37,23
1848,19,5
1850,19,17
1852,73,3
1854,5,17
1856,3,23
1858,73,83
1860,41,13
1862,73,5
1864,7,17
1866,11,19
1868,79,11
1870,37,23
1872,23,7
1874,37,59
1876,3,89
1878,47,17
1880,7,3
1882,67,3
1884,5,19
1886,3,5
1888,7,41
1890,13,23
1892,19,17
1894,13,53
1896,5,19
1898,37,11
1900,3,3
1902,5,5
1904,13,3
1906,43,3
1908,7,13
1910,7,59
1912,3,3
1914,23,13
1916,13,29
1918,19,11
1920,11,13
1922,7,71
1924,3,3
1926,11,19
1928,73,11
1930,7,17
1932,5,37
1934,37,17
1936,3,17
1938,5,7
1940,67,11
1942,13,17
1944,23,5
1946,3,17
1948,7,167
1950,11,7
1952,79,5
1954,7,23
1956,11,5
1958,13,17
1960,3,41
1962,23,7
1964,13,29
1966,31,3
1968,17,13
1970,7,3
1972,67,23
1974,23,19
1976,67,29
1978,3,3
1980,17,17
1982,37,5
1984,37,17
1986,23,7
1988,19,17
1990,37,17
1992,7,11
1994,7,5
1996,31,17
1998,7,7
2000,37,29
2002,19,3
2004,5,13
2006,3,89
2008,7,5
2010,19,7
2012,67,41
2014,13,3
2016,43,13
2018,13,23
2020,3,41
2022,37,13
2024,3,53
2026,31,3
2028,23,7
2030,3,11
2032,7,17
2034,17,7
2036,3,3
2038,3,11
2040,7,7
2042,7,17
2044,3,5
2046,7,13
2048,67,3
2050,67,11
2052,5,11
2054,31,17
2056,13,47
2058,13,13
2060,7,3
2062,3,71
2064,11,19
2066,151,17
2068,3,3
2070,19,7
2072,3,11
2074,43,59
2076,11,19
2078,3,3
2080,3,17
2082,7,5
2084,43,89
2086,13,47
2088,5,5
2090,7,17
2092,3,3
2094,5,13
2096,3,53
2098,37,3
2100,19,19
2102,13,47
2104,31,3
2106,5,53
2108,43,11
2110,31,83
2112,5,7
2114,31,17
2116,7,3
2118,7,17
2120,67,17
2122,3,5
2124,7,7
2126,37,5
2128,37,17
2130,13,7
2132,37,47
2134,7,5
2136,5,149
2138,13,11
2140,37,41
2142,29,5
2144,97,5
2146,7,5
2148,7,11
2150,61,11
2152,7,11
2154,41,7
2156,13,3
2158,19,17
2160,53,47
2162,7,5
2164,7,47
2166,11,17
2168,7,5
2170,19,11
2172,5,7
2174,3,239
2176,3,47
2178,7,7
2180,31,41
2182,13,3
2184,11,67
2186,7,3
2188,3,5
2190,11,11
2192,3,23
2194,3,29
2196,5,23
2198,79,11
2200,103,3
2202,43,17
2204,43,47
2206,7,53
2208,7,5
2210,37,3
2212,97,3
2214,5,23
2216,7,5
2218,3,17
2220,61,11
2222,3,3
2224,13,47
2226,5,17
2228,103,17
2230,109,3
2232,37,13
2234,3,3
2236,7,3
2238,13,37
